걸음;타임스탬프;날짜;시간
3071;1539507060000;2018. 10. 14.;오후 5:51:00
3250;1539507660000;2018. 10. 14.;오후 6:01:00
4118;1539508260000;2018. 10. 14.;오후 6:11:00
4350;1539508860000;2018. 10. 14.;오후 6:21:00
4350;1539509460000;2018. 10. 14.;오후 6:31:00
4360;1539510060000;2018. 10. 14.;오후 6:41:00
4360;1539510660000;2018. 10. 14.;오후 6:51:00
4360;1539511260000;2018. 10. 14.;오후 7:01:00
4360;1539511860000;2018. 10. 14.;오후 7:11:00
4360;1539512460000;2018. 10. 14.;오후 7:21:00
4360;1539513060000;2018. 10. 14.;오후 7:31:00
4372;1539513660000;2018. 10. 14.;오후 7:41:00
4372;1539514260000;2018. 10. 14.;오후 7:51:00
4372;1539514860000;2018. 10. 14.;오후 8:01:00
4372;1539515460000;2018. 10. 14.;오후 8:11:00
4372;1539516060000;2018. 10. 14.;오후 8:21:00
4372;1539516660000;2018. 10. 14.;오후 8:31:00
4372;1539517260000;2018. 10. 14.;오후 8:41:00
4372;1539517860000;2018. 10. 14.;오후 8:51:00
4372;1539518460000;2018. 10. 14.;오후 9:01:00
4372;1539519060000;2018. 10. 14.;오후 9:11:00
4372;1539519660000;2018. 10. 14.;오후 9:21:00
4372;1539520260000;2018. 10. 14.;오후 9:31:00
4372;1539520860000;2018. 10. 14.;오후 9:41:00
